"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 19:30:09 GMT 2023","Tue Aug 15 19:30:10 GMT 2023","374","chromium","","","","","Validar a resposta do GET de /character/{id}",""
"passed","Tue Aug 15 19:30:11 GMT 2023","Tue Aug 15 19:30:12 GMT 2023","375","chromium","","","","","Validar a resposta do GET de /movie/{id}",""
"passed","Tue Aug 15 19:30:09 GMT 2023","Tue Aug 15 19:30:09 GMT 2023","472","chromium","","","","","Validar a resposta do GET de /chapter",""
"passed","Tue Aug 15 19:30:10 GMT 2023","Tue Aug 15 19:30:10 GMT 2023","775","chromium","","","","","Validar a resposta do GET de /character",""
"passed","Tue Aug 15 19:30:07 GMT 2023","Tue Aug 15 19:30:07 GMT 2023","513","chromium","","","","","Validar a resposta do GET de /book/{id}/chapter",""
"passed","Tue Aug 15 19:30:12 GMT 2023","Tue Aug 15 19:30:13 GMT 2023","836","chromium","","","","","Validar a resposta do GET de /quote",""
"passed","Tue Aug 15 19:30:07 GMT 2023","Tue Aug 15 19:30:08 GMT 2023","531","chromium","","","","","Validar a resposta do GET de /book/{id}",""
"passed","Tue Aug 15 19:30:08 GMT 2023","Tue Aug 15 19:30:09 GMT 2023","402","chromium","","","","","Validar a resposta do GET de /chapter/{id}",""
"passed","Tue Aug 15 19:30:12 GMT 2023","Tue Aug 15 19:30:12 GMT 2023","376","chromium","","","","","Validar a resposta do GET de /quote/{id}",""
"passed","Tue Aug 15 19:30:08 GMT 2023","Tue Aug 15 19:30:08 GMT 2023","413","chromium","","","","","Validar a resposta do GET de /book",""
"passed","Tue Aug 15 19:30:10 GMT 2023","Tue Aug 15 19:30:11 GMT 2023","728","chromium","","","","","Validar a resposta do GET de /movie/{id}/quote",""
"passed","Tue Aug 15 19:30:12 GMT 2023","Tue Aug 15 19:30:12 GMT 2023","340","chromium","","","","","Validar a resposta do GET de /movie",""
